"ID";"Place"
1;"Aach"
2;"Aachen"
3;"Aalen"
4;"Aarbergen"
5;"Aasbüttel"
6;"Abenberg"
7;"Abensberg"
8;"Abentheuer"
9;"Absberg"
10;"Abstatt"
11;"Abtsbessingen"
12;"Abtsgmünd"
13;"Abtsteinach"
14;"Abtswind"
15;"Abtweiler"
16;"Achberg"
17;"Achern"
18;"Achim"
19;"Achslach"
20;"Achstetten"
21;"Acht"
22;"Achtelsbach"
23;"Achterwehr"
24;"Achtrup"
25;"Adelberg"
26;"Adelebsen"
27;"Adelheidsdorf"
28;"Adelmannsfelden"
29;"Adelschlag"
30;"Adelsdorf"
31;"Adelsheim"
32;"Adelshofen"
33;"Adelsried"
34;"Adelzhausen"
35;"Adenau"
36;"Adenbach"
37;"Adenbüttel"
38;"Adendorf"
39;"Adlershof"
40;"Adlkofen"
41;"Admannshagen-Bargeshagen"
42;"Adorf"
43;"Aebtissinwisch"
44;"Aerzen"
45;"Affalterbach"
46;"Affing"
47;"Affinghausen"
48;"Affler"
49;"Agathenburg"
50;"Agethorst"
51;"Aglasterhausen"
52;"Aham"
53;"Ahaus"
54;"Ahausen"
55;"Ahlbeck"
56;"Ahlden"
57;"Ahlefeld-Bistensee"
58;"Ahlen"
59;"Ahlerstedt"
60;"Ahlsdorf"
61;"Ahlstädt"
62;"Ahnatal"
63;"Ahneby"
64;"Ahnsbeck"
65;"Ahnsen"
66;"Aholfing"
67;"Aholming"
68;"Ahorn"
69;"Ahorntal"
70;"Ahrbrück"
71;"Ahrensbök"
72;"Ahrensburg"
73;"Ahrensfelde"
74;"Ahrenshagen-Daskow"
75;"Ahrenshöft"
76;"Ahrenshoop"
77;"Ahrenviöl"
78;"Ahrenviölfeld"
79;"Aichach"
80;"Aicha vorm Wald"
81;"Aichelberg"
82;"Aichen"
83;"Aichhalden"
84;"Aichstetten"
85;"Aichtal"
86;"Aichwald"
87;"Aidenbach"
88;"Aidhausen"
89;"Aidlingen"
90;"Aiglsbach"
91;"Ailertchen"
92;"Aindling"
93;"Ainring"
94;"Aislingen"
95;"Aiterhofen"
96;"Aitern"
97;"Aitrach"
98;"Aitrang"
99;"Aken (Elbe)"
100;"Aland"
101;"Albaching"
102;"Albbruck"
103;"Albersdorf"
104;"Albershausen"
105;"Albersweiler"
106;"Albertshofen"
107;"Albessen"
108;"Albig"
109;"Albisheim (Pfrimm)"
110;"Albsfelde"
111;"Albstadt"
112;"Aldenhoven"
113;"Aldersbach"
114;"Aldingen"
115;"Alerheim"
116;"Alesheim"
117;"Aletshausen"
118;"Alf"
119;"Alfdorf"
120;"Alfeld"
121;"Alfeld (Leine)"
122;"Alfhausen"
123;"Alflen"
124;"Alfstedt"
125;"Alfter"
126;"Algermissen"
127;"Alheim"
128;"Alken"
129;"Alkersleben"
130;"Alkersum"
131;"Allenbach"
132;"Allendorf"
133;"Allenfeld"
134;"Allensbach"
135;"Allersberg"
136;"Allershausen"
137;"Alleshausen"
138;"Alling"
139;"Allmannshofen"
140;"Allmannsweiler"
141;"Allmendingen"
142;"Allmersbach im Tal"
143;"Allstedt"
144;"Almdorf"
145;"Almersbach"
146;"Alpen"
147;"Alpenrod"
148;"Alperstedt"
149;"Alpirsbach"
150;"Alsbach"
151;"Alsbach-Hähnlein"
152;"Alsdorf"
153;"Alsenz"
154;"Alsfeld"
155;"Alsheim"
156;"Alsleben"
157;"Altbach"
158;"Alt Bennebek"
159;"Alt Bukow"
160;"Altdöbern"
161;"Altdorf"
162;"Altdorf bei Nürnberg"
163;"Alt Duvenstedt"
164;"Altefähr"
165;"Alteglofsheim"
166;"Altena"
167;"Altenahr"
168;"Altenbamberg"
169;"Altenbeken"
170;"Altenberg"
171;"Altenberga"
172;"Altenberge"
173;"Altenbeuthen"
174;"Altenbuch"
175;"Altenburg"
176;"Altendiez"
177;"Altendorf"
178;"Altenfeld"
179;"Altenglan"
